name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Miami Heat,2/17/2012,2011,1966,1610612748,320217005,1,4,20,1,Alley Oop Dunk Shot,2PT Field Goal,0,Cleveland Cavaliers,2,1,,,,,
LeBron James,Miami Heat,1/2/2013,2012,1966,1610612748,400278189,1,5,39,1,Alley Oop Dunk Shot,2PT Field Goal,1,Dallas Mavericks,12,1,,,,,
LeBron James,Miami Heat,12/7/2013,2013,1966,1610612748,400489167,3,2,49,1,Alley Oop Dunk Shot,2PT Field Goal,0,Minnesota Timberwolves,1,4,0,3,"Hummel, Robbie",4.3,20.6
LeBron James,Miami Heat,5/8/2013,2012,1966,1610612748,400464357,1,5,14,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,0,3,,,,,
LeBron James,Miami Heat,4/21/2013,2012,1966,1610612748,400459775,4,4,15,1,Alley Oop Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,2,0,,,,,
LeBron James,Miami Heat,2/17/2012,2011,1966,1610612748,320217005,1,8,31,1,Alley Oop Dunk Shot,2PT Field Goal,1,Cleveland Cavaliers,12,1,,,,,
LeBron James,Miami Heat,12/25/2013,2013,1966,1610612748,400489293,2,2,37,1,Alley Oop Dunk Shot,2PT Field Goal,3,Los Angeles Lakers,18,31,0,0,"Johnson, Wesley",4.6,19.9
LeBron James,Miami Heat,12/25/2013,2013,1966,1610612748,400489293,1,3,50,1,Alley Oop Dunk Shot,2PT Field Goal,2,Los Angeles Lakers,12,25,1,4.6,"Meeks, Jodie",4.9,20
LeBron James,Miami Heat,1/2/2014,2013,1966,1610612748,400489347,1,10,19,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,4,-2,0,2.3,"Thompson, Klay",2.7,21
LeBron James,Miami Heat,1/5/2014,2013,1966,1610612748,400489373,1,9,50,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,2,-2,0,0.9,"Lowry, Kyle",6.8,0
LeBron James,Miami Heat,1/7/2014,2013,1966,1610612748,400489384,2,6,31,1,Alley Oop Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,-2,3,0,0.8,"Evans, Tyreke",3.6,24
LeBron James,Miami Heat,1/7/2014,2013,1966,1610612748,400489384,3,9,1,1,Alley Oop Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,1,1,0,0,"Aminu, Al-Farouq",3.5,12
LeBron James,Miami Heat,5/1/2011,2010,1966,1610612748,310501014,4,7,39,1,Alley Oop Dunk Shot,2PT Field Goal,2,Boston Celtics,-18,11,,,,,
LeBron James,Miami Heat,1/15/2014,2013,1966,1610612748,400489441,2,2,54,1,Alley Oop Dunk Shot,2PT Field Goal,0,Washington Wizards,2,1,0,0,"Gortat, Marcin",7.2,20.1
LeBron James,Miami Heat,5/3/2011,2010,1966,1610612748,310503014,1,3,6,1,Alley Oop Dunk Shot,2PT Field Goal,2,Boston Celtics,24,4,,,,,
LeBron James,Miami Heat,5/31/2011,2010,1966,1610612748,310531014,4,0,40,1,Alley Oop Dunk Shot,2PT Field Goal,1,Dallas Mavericks,-8,9,,,,,
LeBron James,Miami Heat,1/17/2014,2013,1966,1610612748,400489456,4,3,30,1,Alley Oop Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,2,3,0,1,"Davies, Brandon",2.5,5.8
LeBron James,Miami Heat,3/4/2012,2011,1966,1610612748,320304013,1,10,25,1,Alley Oop Dunk Shot,2PT Field Goal,1,Los Angeles Lakers,-10,11,,,,,
LeBron James,Miami Heat,6/3/2013,2012,1966,1610612748,400466600,2,8,25,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,1,-3,,,,,
LeBron James,Miami Heat,4/1/2011,2010,1966,1610612748,310401016,2,6,10,1,Alley Oop Dunk Shot,2PT Field Goal,1,Minnesota Timberwolves,0,14,,,,,
LeBron James,Miami Heat,1/16/2013,2012,1966,1610612748,400278299,1,8,41,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,-2,6,,,,,
LeBron James,Miami Heat,1/25/2012,2011,1966,1610612748,320125008,1,4,35,1,Alley Oop Dunk Shot,2PT Field Goal,0,Detroit Pistons,-2,0,,,,,
LeBron James,Miami Heat,3/20/2012,2011,1966,1610612748,320320014,1,8,22,1,Alley Oop Dunk Shot,2PT Field Goal,1,Phoenix Suns,-13,7,,,,,
LeBron James,Miami Heat,1/2/2012,2011,1966,1610612748,320102014,3,5,17,1,Alley Oop Dunk Shot,2PT Field Goal,0,Atlanta Hawks,0,7,,,,,
LeBron James,Miami Heat,1/23/2013,2012,1966,1610612748,400278339,1,5,36,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,-3,11,,,,,
