slang_code_word,drug,drug2,drug3,,,,,
Citrol ,Marijuana ,,,,,,,
Clarity ,Ecstasy/MDMA/Molly ,,,,,,,
Clear ,Methamphetamine ,,,,,,,
Clear Kind ,Cocaine ,,,,,,,
Clear Tires ,Cocaine ,,,,,,,
Clicker ,Crack Cocaine ,,,,,,,
Cliffhanger ,PCP (Phencyclidine) ,,,,,,,
Climax ,Crack Cocaine ,,,,,,,
Clockwork Orange ,Synthetic Cannabinoids ,,,,,,,
Clothing Cleaner ,Methamphetamine ,,,,,,,
Cloud ,Crack Cocaine ,,,,,,,
Cloud 10 ,Synthetic Cannabinoids ,,,,,,,
Cloud 9 ,Synthetic Cathinones ,,,,,,,
Cloud Nine ,Crack Cocaine ,,,,,,,
Coast-to-Coasts ,Amphetamine ,,,,,,,
Coca ,Cocaine ,,,,,,,
Coca-Cola ,Cocaine ,,,,,,,
Cocazo ,Cocaine ,,,,,,,
Coco ,Heroin ,,,,,,,
Coconut ,Cocaine ,,,,,,,
Coffee ,Heroin, LSD (Lysergic Acid Diethylamide) ,,,,,,
Cohete ,Heroin ,,,,,,,
Coke ,Cocaine ,,,,,,,
Cola ,Cocaine, Marijuana ,,,,,,
Cold ,Methamphetamine ,,,,,,,
Cold One ,Methamphetamine ,,,,,,,
Colorado ,Cocaine ,,,,,,,
Colorado Cocktail ,Marijuana ,,,,,,,
Colorado Rockies ,Methamphetamine ,,,,,,,
Colorines ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Columbo ,PCP (Phencyclidine) ,,,,,,,
Comida ,Heroin, Cocaine ,,,,,,
Comida Dulce ,Cocaine ,,,,,,,
Conductor ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Connie ,Cocaine ,,,,,,,
Cookie ,Cocaine, Hydroponic Marijuana ,,,,,,
Cookies ,Crack Cocaine ,,,,,,,
Co-Pilot ,Amphetamine, Amphetamine and Dextroamphetamine Combination  ,,,,,,
Cosa ,Cocaine ,,,,,,,
Cosmic Beast ,Synthetic Cathinones ,,,,,,,
Coso ,Cocaine ,,,,,,,
Cosos ,Cocaine ,,,,,,,
Cotorritos ,Marijuana ,,,,,,,
Cotton ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Cowboy Kush ,Synthetic Cannabinoids ,,,,,,,
Cozmos ,PCP (Phencyclidine) ,,,,,,,
Crank ,Methamphetamine ,,,,,,,
Crazy ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Crazy Eddie ,PCP (Phencyclidine) ,,,,,,,
Crazy Oke ,PCP (Phencyclidine) ,,,,,,,
Crazy One ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Crazy Weed ,Marijuana ,,,,,,,
CRC ,Crack Cocaine ,,,,,,,
Cream ,Methamphetamine ,,,,,,,
Creeper Bud ,Marijuana ,,,,,,,
Crib ,Crack Cocaine ,,,,,,,
Cri-Cri ,Methamphetamine ,,,,,,,
Crink ,Methamphetamine ,,,,,,,
Crippy ,Marijuana ,,,,,,,
Crisco ,Methamphetamine ,,,,,,,
Crisscross ,Amphetamine ,,,,,,,
Crissy ,Methamphetamine ,,,,,,,
Cross Roads ,Amphetamine ,,,,,,,
Cross Tops ,Amphetamine ,,,,,,,
Crosses ,Amphetamine ,,,,,,,
Crow ,Cocaine ,,,,,,,
Crown Cap ,Heroin ,,,,,,,
Crumble ,Marijuana Concentrates/Hash Oil ,,,,,,,
Crunch and Munch ,Crack Cocaine ,,,,,,,
Crusty Treats ,Cocaine ,,,,,,,
Cruz ,Opium ,,,,,,,
Crying Weed ,Marijuana ,,,,,,,
Crypto ,Methamphetamine ,,,,,,,
Crystal Skull ,Synthetic Cannabinoids ,,,,,,,
Crystalline ,Marijuana Concentrates/Hash Oil, Methamphetamine ,,,,,,
Cuadro ,Methamphetamine, Cocaine ,,,,,,
Cubes ,Psilocybin Mushrooms ,,,,,,,
Cucuy ,PCP (Phencyclidine) ,,,,,,,
Culican ,Marijuana ,,,,,,,
Curley Hair ,Heroin ,,,,,,,
Cyclones ,PCP (Phencyclidine) ,,,,,,,
D ,Hydromorphone (Dilaudid®) ,,,,,,,
D.O.A. ,Heroin ,,,,,,,
Dabs ,Marijuana Concentrates/Hash Oil ,,,,,,,
Dance Fever ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Dancing Shoes ,Ecstasy/MDMA/Molly ,,,,,,,
Dank ,Marijuana ,,,,,,,
Dark ,Heroin ,,,,,,,
Dark Girl ,Heroin ,,,,,,,
Dark Kind ,Heroin ,,,,,,,
